module_index,module,kind,segment,linker_offset,size,name,local_count,locals
140,F:\WLIBS\fields\fields.c,0x24,1,1069791,164,Add_Locked_Button_Field,7,xmin;ymin;string;pict_seg;)variable;hotkey;button_sound
140,F:\WLIBS\fields\fields.c,0x24,1,1069955,190,Add_Multi_Button_Field,8,xmin;ymin;string;pict_seg;)variable;set_value;hotkey;button_sound
140,F:\WLIBS\fields\fields.c,0x24,1,1070145,55,Set_Button_Down_Offsets,2,x;y
140,F:\WLIBS\fields\fields.c,0x24,1,1070200,618,Add_Scroll_Field,11,xmin;ymin;min_value;max_value;min_valid;max_valid;width;height; )variable;hotkey;button_sound
140,F:\WLIBS\fields\fields.c,0x24,1,1070818,690,Find_Bar_Position,5,field_num;pos;width;bar_value;value
140,F:\WLIBS\fields\fields.c,0x24,1,1071508,300,Increment_Scroll_Bar,5,field_num;percent;width;bar_value;value
140,F:\WLIBS\fields\fields.c,0x24,1,1071808,298,Decrement_Scroll_Bar,5,field_num;percent;width;bar_value;value
140,F:\WLIBS\fields\fields.c,0x24,1,1072106,593,Add_Continuous_String_Input_Field,13,xmin;ymin;width;height;string;max_characters;fill_color;marker_picture;button_sound;shadow;temp;temp2;i
140,F:\WLIBS\fields\fields.c,0x24,1,1072699,627,Add_Input_Field,11,xmin;ymin;width;string;max_characters;fill_color;justification;cursor_type;color_array;select_char;button_sound
140,F:\WLIBS\fields\fields.c,0x24,1,1073326,1607,Input_String,13,field_num;i;count;valid;max_characters;back_count;width;height;mouse_button;temp;exit_delay;character;Ltemp_string
140,F:\WLIBS\fields\fields.c,0x24,1,1074933,1118,Display_Input_Field,13,field_num;temp_string2;i;j;cursor_width;cursor_start;height;ymax;width;cursor_counter;Ncursor_color_array;Ocharacter_string;Ptemp_string
140,F:\WLIBS\fields\fields.c,0x24,1,1076051,1569,Get_Input_String,21,xmin;ymin;width;string;max_characters;fill_color;justification;cursor_type;color_array;button_sound;i;count;valid;back_count;height;exit_delay;mouse_button;temp;field_num;character;Rtemp_string
140,F:\WLIBS\fields\fields.c,0x24,1,1077620,55,Set_Input_Delay,1,delay
140,F:\WLIBS\fields\fields.c,0x24,1,1077675,183,Get_Input,2,field;field_index
140,F:\WLIBS\fields\fields.c,0x24,1,1077858,78,Init_Mouse_Keyboard,0,
140,F:\WLIBS\fields\fields.c,0x24,1,1077936,36,F11_Key,0,
140,F:\WLIBS\fields\fields.c,0x24,1,1077972,40,Disable_Draw_All_Fields,0,
140,F:\WLIBS\fields\fields.c,0x24,1,1078012,40,Enable_Draw_All_Fields,0,
140,F:\WLIBS\fields\fields.c,0x24,1,1078052,184,Disable_Draw_Field,1,field_num
140,F:\WLIBS\fields\fields.c,0x24,1,1078236,183,Enable_Draw_Field,1,field_num
140,F:\WLIBS\fields\fields.c,0x24,1,1078419,56,Draw_All_Fields,0,
140,F:\WLIBS\fields\fields.c,0x24,1,1078475,6921,Draw_Visible_Fields_Back,12,i;j;height;space;temp_value;var_segment;var_offset;cursor_change;old_window_x1;old_window_x2;old_window_y1;old_window_y2
140,F:\WLIBS\fields\fields.c,0x24,1,1085396,458,Push_Field_Down,4,field_num;mouse_x;mouse_y;i
140,F:\WLIBS\fields\fields.c,0x24,1,1085854,44,Assign_Update_Function,1,Vfunction_name
140,F:\WLIBS\fields\fields.c,0x24,1,1085898,92,Assign_Auto_Function,2,Xfunction_name;delay
140,F:\WLIBS\fields\fields.c,0x24,1,1085990,41,Save_Auto_Function,0,
140,F:\WLIBS\fields\fields.c,0x24,1,1086031,50,Restore_Auto_Function,0,
140,F:\WLIBS\fields\fields.c,0x24,1,1086081,40,Deactivate_Auto_Function,0,
140,F:\WLIBS\fields\fields.c,0x24,1,1086121,40,Activate_Auto_Function,0,
140,F:\WLIBS\fields\fields.c,0x24,1,1086161,47,Invoke_Auto_Function,0,
140,F:\WLIBS\fields\fields.c,0x24,1,1086208,37,Invoke_Saved_Auto_Function,0,
140,F:\WLIBS\fields\fields.c,0x24,1,1086245,123,Quick_Call_Auto_Function,0,
140,F:\WLIBS\fields\fields.c,0x24,1,1086368,96,Call_Auto_Function,0,
140,F:\WLIBS\fields\fields.c,0x24,1,1086464,65,Clear_Fields_Above,1,field_num
140,F:\WLIBS\fields\fields.c,0x24,1,1086529,41,Clear_Mouse_Buffer,0,
140,F:\WLIBS\fields\fields.c,0x24,1,1086570,45,Set_Field_Outline_Color,1,color
140,F:\WLIBS\fields\fields.c,0x24,1,1086615,45,Set_Help_Field_Outline_Color,1,color
140,F:\WLIBS\fields\fields.c,0x24,1,1086660,50,Enable_Mouse_Pressed_Field_Update,0,
140,F:\WLIBS\fields\fields.c,0x24,1,1086710,40,Disable_Mouse_Pressed_Field_Update,0,
140,F:\WLIBS\fields\fields.c,0x24,1,1086750,83,Reset_Wait_For_Input,0,
140,F:\WLIBS\fields\fields.c,0x24,1,1086833,327,Wait_For_Input,3,esc;mouse_click;character
140,F:\WLIBS\fields\fields.c,0x24,1,1087160,63,Set_Help_List,2,)help_pointer;count
140,F:\WLIBS\fields\fields.c,0x24,1,1087223,59,Deactivate_Help_List,0,
140,F:\WLIBS\fields\fields.c,0x24,1,1087282,303,Check_Help_List,5,help_entry_found;mouse_x;mouse_y;i;j
140,F:\WLIBS\fields\fields.c,0x24,1,1087585,152,Mark_Fields,0,
140,F:\WLIBS\fields\fields.c,0x24,1,1087737,122,Release_Fields,0,
140,F:\WLIBS\fields\fields.c,0x24,1,1087859,31,Restore,0,
140,F:\WLIBS\fields\fields.c,0x24,1,1087890,37,Save_Back,2,x;y
140,F:\WLIBS\fields\fields.c,0x24,1,1087927,37,Put_Mouse,2,x;y
140,F:\WLIBS\fields\fields.c,0x24,1,1087964,31,Mouse_Setup,0,
140,F:\WLIBS\fields\fields.c,0x24,1,1087995,31,Save_Back_Always,0,
140,F:\WLIBS\fields\fields.c,0x24,1,1088026,422,Add_String_Field,12,x1;y1;x2;y2;string;max_chars;normal_colors;hi_colors;style;use_highlight_colors;str_length;ctr
140,F:\WLIBS\fields\fields.c,0x24,1,1088448,95,Clear_String_Fields,0,
140,F:\WLIBS\fields\fields.c,0x24,1,1088543,83,Disable_All_String_Fields,1,ctr
140,F:\WLIBS\fields\fields.c,0x24,1,1088626,78,Disable_String_Field,1,string_field_index
140,F:\WLIBS\fields\fields.c,0x24,1,1088704,83,Enable_All_String_Fields,1,ctr
140,F:\WLIBS\fields\fields.c,0x24,1,1088787,78,Enable_String_Field,1,string_field_index
140,F:\WLIBS\fields\fields.c,0x24,1,1088865,140,Draw_Cursor_Pos,5,cx;cy;colors;ctr;prior_active
140,F:\WLIBS\fields\fields.c,0x24,1,1089005,1243,Handle_String_Fields,14,mb;ctr;string_width;character;max_characters;px;py;cursor_offset;auto_field;string_field_hit;cx;cy;w;^string
140,F:\WLIBS\fields\fields.c,0x24,1,1090248,656,Print_String_Fields,3,ctr;field_height;font_height
140,F:\WLIBS\fields\fields.c,0x24,1,1090904,120,Read_Character_And_Scan_Mb,4,done;key;mb;status
140,F:\WLIBS\fields\fields.c,0x24,1,1091024,244,Scan_All_Fields,5,px;py;found;field_num;ctr
140,F:\WLIBS\fields\fields.c,0x24,1,1091268,245,Scan_Only_String_Fields,7,px;py;)field_edited;character;aslot;ctr;found
140,F:\WLIBS\fields\fields.c,0x24,1,1091513,197,Set_String_Font_Colors,6,ctr;color_num;fill_x1;fill_y1;fill_x2;fill_y2
140,F:\WLIBS\fields\fields.c,0x24,1,1091710,176,Fill_Edited_String_Field,1,cstring
140,F:\WLIBS\fields\fields.c,0x24,1,1091886,604,Add_Irregular_Button_Field,11,field_x1;field_y1;field_x2;field_y2;string;pict_seg;draw_x;draw_y;hotkey;button_sound;x
140,F:\WLIBS\fields\fields.c,0x24,1,1092490,554,Get_Alt_Alpha_Key,2,character;alpha_key
140,F:\WLIBS\fields\fields.c,0x24,1,1093044,323,Add_Multi_Hot_Key_Field,1,string
140,F:\WLIBS\fields\fields.c,0x24,1,1093367,109,Clear_Multi_Hot_Key_Offsets,2,field_ctr;next_char
140,F:\WLIBS\fields\fields.c,0x24,1,1093476,246,Check_Multi_Hot_Key_Fields,6,ascii_char;fields_ctr;char_ctr;field_num;draw_x;draw_y
140,F:\WLIBS\fields\fields.c,0x24,1,1093722,4758,Draw_Field,8,field_num;up_down_flag;i;height;space;var_segment;var_offset;temp_value
140,F:\WLIBS\fields\fields.c,0x24,1,1098480,104,Clear_Fields,0,
140,F:\WLIBS\fields\fields.c,0x24,1,1098584,109,Clipped_Dot,5,x;y;color;button_width;button_height
140,F:\WLIBS\fields\fields.c,0x24,1,1098693,252,Add_Clipped_Button_Field,6,xmin;ymin;string;pict_seg;hotkey;button_sound
140,F:\WLIBS\fields\fields.c,0x24,1,1098945,854,Get_List_Field,32,title_x1;title_y1;fill_width;title_string;text_string;string_width;)variable;aactive_flag;select_fill_type;sfill1;sfill2;sfill3;sfill4;help_entry;esc;i;total_items;vertical_space;font_height;ymin;title_x2;title_field;choice;copy_flag;item_track;active;title_var;string_address;current_color;current_style;highlight_color;special_color
140,F:\WLIBS\fields\fields.c,0x24,1,1099799,38,Exit_List_Field,0,
